"COD","Società"
"BS694","ATLETICA BRESCIA 2010"
"BS702","G.P. OVER PONTEVICO"
"BS707","RUNNING  CAZZAGO SAN MARTINO"
"BS714","ATLETICA PERTICA BASSA"
"BS717","RUNNERS CAPRIOLESE"
"BS742","GARDA RUNNING A.S.D."
"BS748","RUNNING PREALPINO ASD"
"BS752","RUNNERS SALO'"
"BS755","ATLETICA EDEN '77 ASD"
"BS757","ATLETICA PONCARALE BORGO"
"BS769","LIBERTAS VALLESABBIA"
"BS773","SPORT FITNESS & CO. SRL SSD"
"BS777","ESC SSD SRL EUROPA SC"
"BS783","A.S.D. SAN FILIPPO RUNNERS"
"BS786","BRIXIA ATLETICA 2014 SSD SRL"
"BS797","STRALENO"
"BS836","F.O.RUNNING TEAM"
"BS846","ATHLETIC ACADEMY A.S.D."
"BS854","ATLETICA MONTICHIARI"
"BS883","BIONE TRAILERS TEAM"
"BS900","SOC CANOTTIERI GARDA SALO' ASD"
"BS909","POLISPORTIVA CALVAGESE ASD"
"BS925","MONTE ORFANO RUNNERS ASD"
"BS950","VENUS TRIATHLON ACADEMY SSDARL"
"BS952","ADVANCE GARDA TEAM 2019 ASD"
"BS985","SPORT CLUB BRESCIA"
"BZ001","A.S. MERANO"
"BZ003","ASS.SPORT.DIL. IVECO ATLETICA"
"BZ006","AMATEUR-LAEUFERCLUB KALTERN"
"BZ008","SSV BRUNECK VOLKSBANK ASV"
"BZ009","ASV RENNERCLUB VINSCHGAU"
"BZ011","S.V. LANA - RAIKA ASV"
"BZ012","A.S.D. ATL.CLUB 2000 DOBBIACO"
"BZ013","ASV STERZING VOLKSBANK"
"BZ014","ASV JENESIEN SOLTNFLITZER"
"BZ016","U.S.D. BRONZOLO"
"BZ018","SAF BOLZANO 1953"
"BZ019","SPORTCLUB MERANO"
"BZ020","ASV LAC VINSCHGAU RAIFFEISEN"
"BZ023","ASV L.C. BOZEN RAIFFEISEN"
"BZ025","SOCIETA' ATLETICA BOLZANO"
"BZ026","A.S.D. S.A.F. LAIVES"
"BZ028","ASC SARNTAL"
"BZ031","A.S.D.SSV BRIXEN"
"BZ033","A.S.D. POL. AVI VIPITENO"
"BZ036","A.S.D. SSV LEIFERS  L.A."
"BZ040","G.S.'LENTI E VELOCI' RAIFFEISE"
"BZ043","S.V. MOELTEN RAIFFEISEN A.S.V."
"BZ050","ATLETICA GHERDEINA RAIFFEISEN"
"BZ052","A.S.DIL. FULL SPORT MERAN"
"BZ054","KSV LEICHTATHLETIK DILETTANTIS"
"BZ056","ASV L.G. SCHLERN  RAIFFEISEN"
"BZ058","A.S.C. BERG"
"BZ060","ASS.SPORT.DILETTANT.DRIBBLING"
"BZ066","ATHLETIC CLUB 96 ALPERIA"
"BZ067","SUEDTIROLER LV SPARKASSE"
"BZ068","S.G EISACKTAL RAIFFEISEN ASV"
"BZ071","C.S.S. LEONARDO DA VINCI"
"BZ073","A.S.D. SUEDTIROL TEAM CLUB"
"BZ074","ASV TELMEKOM TEAM SUEDTIROL"
"BZ079","ASC LAAS RAIFFEISEN"
"BZ085","ASV GHERDEINA RUNNERS"
"BZ087","SPORTLER TEAM"
"BZ088","AMATEURSPORTCLUB PASSEIER"
"BZ092","ASV DEUTSCHNOFEN"
"BZ094","A.S.D.TEAM 3V"
"BZ097","ASV STEINEGG"
"BZ098","RITTEN SPORT RUN TEAM"
"BZ099","LAUFVEREIN ASV FREIENFELD"
"BZ100","LISPHERA"
"BZ101","MERANO ATLETICA RUNNING A.S.D."
"CA001","C.U.S. CAGLIARI"
"CA002","S G AMSICORA"
"CA003","SS ESPERIA"
"CA004","ATL ORROLI MARIANO LEONI"
"CA010","POL ATL SERRAMANNA"
"CA012","ATLETICA SELARGIUS"
"CA014","ARCINOVA ATL ARBUS"
"CA015","ATL MAMELI USSANA"
"CA017","ASD US ATL GUSPINI"
"CA018","ATL DECIMOPUTZU"
"CA023","ATL SANT'ELENA QUARTU"
"CA025","G.S. ATLETICA DOLIANOVA"
"CA032","AS TESPIENSE QUARTU"
"CA033","ATL CORTOGHIANA"
"CA035","ASD ATLETICA MARIANO SCANO"
"CA036","POL LIBERTAS CAMPIDANO"
"CA038","POL  JOLAO IGLESIAS"
"CA041","ATL KARALIS"
"CA044","SS SPORTING S.I.E."
"CA049","GS ATLETICA CAPOTERRA"
"CA055","FUTURA CAGLIARI SOLOATLETICA"
"CA056","ATL POD SAN GAVINO"
"CA058","GS ATL SAN BASILIO"
"CA069","ATL MARGANAI IGLESIAS"
"CA072","ATL SAMATZAI GIORGIO MELIS"
"CA081","POLISPORTIVA ISILI"
"CA083","POL UTA 2000"
"CA084","ATLETICA IGLESIAS"
"CA104","ATL SAN SPERATE"
"CA120","NUOVA ATLETICA SESTU"
"CA129","ASD SULCIS ATLETICA CARBONIA"
"CA136","GS ATL NURAMINIS"
"CA137","GRUPPO POL DIL ASSEMINI"
"CA145","ATLETICA VILLAMARESE"
"CA153","DINAMICA"
"CA154","GS RUNNERS CAGLIARI"
"CA164","GS ARGO CAGLIARI"
"CA165","SPORTING CLUB ACLI"
"CA175","ATL LA GHIANDA SANLURI"
"CA176","ATL VALERIA"
"CA183","ISTITUTO PUXEDDU VILLASOR"
"CA184","IST COMP STATALE SADALI"
"CA186","ATLETICA PABILLONIS"
"CA198","OLYMPIA VILLACIDRO"
"CA199","POL ATLETICA SANTADI"
"CA201","ATL EDOARDO SANNA ELMAS"
"CA202","SARDEGNA KARALIS SPORT"
"CA211","CAGLIARI MARATHON CLUB"
"CA216","ATLETICA PULA"
"CA222","ATLETICA SIURGUS DONIGALA"
"CA223","LAGUNA RUNNING SSD SRL"
"CA224","NUOVA ATLETICA SARDEGNA"
"CA226","ATLETICA FLUMINIMAGGIORE"
"CA227","ASD ATLETICA 4 MORI"
"CA230","VILLACIDRO TRIATHLON"
"CA231","A.S.D. ATLETICA MONTEPONI IGLE"
"CA232","ZITTO E CORRI MASTER TEAM CARB"
"CA234","QUELLI CHE L'ATLETICA..."
"CA235","HYKNUSA RUNNERS"
"CA236","ASD ATL MARACALAGONIS IL SOGNO"
"CA238","A.S.D. ATL MINERARIA CARBONIA"
"CA239","ASD CAGLIARI ATLETICA LEGGERA"
"CA242","BLUE TRIBUNE S.R.L. SOCIETA SP"
"CA243","SARRABUS RUNNERS"
"CA250","MARATHON PORTOSCUSO"
"CA253","ISOLARUN"
"CA254","ATLETICA ESPERINA RAFFAELE PIR"
"CA255","ASD ATLETICA UTA"
"CA259","A.S.D. GIALETO 1909"
"CA260","G. S. RUNNERS CAPOTERRA"
"CA261","ATHLETICS & SPORT EDUCATION -"
"CA263","POLISPORTIVA ASD PHOENIX"
"CA265","ATLETICA ARBUS"
"CA267","ASD ATLETICA SINNAI"
"CA268","ATLETICA ESTERZILI"
"CA269","ASD AMPA TRAINING"
"CA274","ASD NUOVA DOLIA ATLETICA"
"CA276","ASD ATHLETIC CLUB CAGLIARI"
"CA280","SEVENFIT"
"CA286","ASD RUN TO BE WILD"
"CA290","ASD POLISPORTIVA JOANNES B"
"CA293","A.S.D. HYKNUSA RUNNER"
"CB001","CUS MOLISE"
"CB004","LAETINA  CAMPOLIETO"
"CB005","GRUPPO SPORTIVO VIRTUS"
"CB006","POLISPORTIVA MOLISE CAMPOBASSO"
"CB010","TERMOLI ATHLETICS"
"CB019","ATLETICA 88 CAMPOMARINO"
"CB021","SC PROMOSPORT BOJANO"
"CB028","IAROS"
"CB032","PODISTICA  AVIS CAMPOBASSO"
"CB033","ATLETICA LARINO"
"CB034","ATLETICA CAMPOCHIARO"
"CB038","ATLETICA PODISTICA CASTELLINO"
"CB039","RUNNERS TERMOLI"
"CB050","G.S.S. CAMPOMARINO"
"CB051","SCUOLA MEDIA ' F. D'OVIDIO '"
"CB052","A.S.D. IST. COMPR. MONTENERO"
"CB053","IST. COMPR. 'G.A. COLOZZA'"
"CB054","ISTI. COMPR. ' L. MONTINI'"
"CB055","IST. CO. 'L. GIRARDI' PETRELLA"
"CB056","IST. COMPR. SAN MARTINO IN P."
"CB058","ATLETICA VAS VINCHIATURO"
"CB059","EMMEDUE SSD A.R.L."
"CB061","ATHLETIC CLUB TERMOLI ASD"
"CB062","POLISPORTIVA PETRELLA TIFERNIN"
"CB063","ATLETICA BOJANO ASD"
"CB064","LARINO RUN"
"CB065","RICCIA ROAD RUNNERS"
"CB716","AMATORI LIMOSANO"
"CB721","ATLETICA MOLISE AMATORI"
"CB737","GS VV. F. G. CRISOSTOMI"
"CB744","FONDIARIA-SAI ATL. MONTENERO"
"CB746","SPORTING CLUB PETRELLA"
"CE011","A.S.D. ATLETICA CALES"
"CE012","A.S.D. ATL. SCUOLA CASERTA"
"CE021","ASD ROAD RUNNERS MADDALONI"
"CE032","A.S.D.ARCA ATL. SAN MARCELLINO"
"CE033","ASD ARCA ATL.AVERSA A.AVERSANO"
"CE035","ATLETICA AVERSA CENTROSANTULLI"
"CE111","ASD ARCA SPARANISE TRACK&FIELD"
"CE131","ASD CUS CASERTA"
"CE160","ASD ASI POLISPORTIVA BELLONA"
"CE203","A.S.D. ARCA ATL. CAMPANIA"
"CE207","A.S.D. ATL. VILLA LITERNO"
"CE221","ASD CLUB 'VAI!' S. MARIA C.V."
"CE252","A.S.D. ATL. NEW TEAM NO LIMITS"
"CE338","A.S.D. ARCA  ATLETICA ATELLA"
"CE455","A.S.D. PODISTICA NORMANNA"
"CE555","FIAMME TRICOLORI"
"CE616","GIOIATLETICA ASC S. MARCELLINO"
"CE622","A.S.D. ATL. CAPUA"
"CE717","ATLETICA MACASPORT ASD"
"CE720","ACSD FELIX RUNNING"
"CE750","G.S.D. FIAMME ARGENTO"
"CE777","ASD CASALE...SI"
"CE800","A.S.D. MATESE RUNNING"
"CE884","A.S.D. PODISTICA MARCIANISE"
"CE886","ATLETICA MACERATA CAMPANIA"
"CE888","RUNLAB LITERNUM ALBANOVA BRIAN"
"CE902","TIFATA RUNNERS CASERTA"
"CE903","A.S.D. ESERCITO - GARIBALDI"
"CE905","MONDRAGONE IN CORSA"
"CE907","ATLETICA MARCIANISE A.S.D"
"CE909","ATLETICA SAN NICOLA"
"CE910","S.S.D. REGGIA POWER A.R.L."
"CE912","ASD ATLETICA TEVEROLA"
"CE925","FREE RUN ASD"
"CH010","ASD CUS ATLETICA CHIETI"
"CH012","ASD NUOVA ATLETICA LANCIANO"
"CH018","ASD RUNNERS CHIETI"
"CH021","A.S. DILET.LIB.ATLETICA RAPINO"
"CH027","ASD PODISTICA VASTO"
"CH044","ASD US ACLI MARATHON CHIETI"
"CH070","ASD 'LIBERI PODISTI ABRUZZESI'"
"CH131","SOC. ATLETICA ANNEUS  VASTO"
"CH135","ASD PODISTICA SAN SALVO"
"CH136","A.S.D.FALCO AZZURRO-CHIETI"
"CH150","GSD ATLETICA CHIETI"
"CH162","A.S.D. 'THEATE WALK'"
"CH163","ASD GRUPPO PODISTICO IL CRAMPO"
"CH172","POLISPORTIVA TETHYS CHIETI"
"CH173","A.S.D. PIETRO MENNEA ATLETICA"
"CH175","ASD MISTERCAMP CASTELFRENTANO"
"CH176","ATLETICA SOLIDALE"
"CH177","ASD I LUPI D'ABRUZZO"
"CH179","ASD G.P. LA SORGENTE"
"CH180","ASD ORTONA FOR RUNNERS"
"CH182","ASD ATLETICA RUNTIME"
"CH183","A.S.D. UNIONE ATLETICA ABRUZZO"
"CH185","ASD PODISTI FRENTANI"
"CH186","ASD PROGETTO RUNNING"
"CL057","A.S. D. ATLETICA CALTANISSETTA"
"CL058","A.S. DIL. ATLETICA RUNNER"
"CL150","A.S.D. TRACK CLUB MASTER CL"
"CL154","A.S. DIL. ATL.MAZZARINO"
"CL210","A.S.D.TRACK CLUB CALTANISSETTA"
"CL232","A.S.D. CORRI NISCEMI"
"CL523","MEGA HOBBY SPORT"
"CL530","A.S.D. POL. DON MINZONI"
"CL681","A.S. DIL. POL. AMATORI"
"CL690","ASD. POD. ROAD RUNNER GELA"
"CL693","ASD ATLETICA YOUNG RUNNER GELA"
"CL698","NISCEMI RUNNING"
"CL701","A.S.D. ATLETICA GELA"
"CL703","MARATHON CALTANISSETTA"
"CL704","ASD CORRI SERRADIFALCO"
"CL709","ASD COSMOS CALTANISSETTA"
"CN001","A.S.D. ATL. FOSSANO '75"
"CN002","A.S.D. U.S. SANFRONT ATLETICA"
"CN004","A.S.D.DRAGONERO"
"CN005","ATL. MONDOVI'-ACQUA S.BERNARDO"
"CN006","G.S.D. POD. BUSCHESE"
"CN007","A.S.D.PODISTICA VALLE VARAITA"
"CN008","A.S.D. ATLETICA ALBA"
"CN009","A.S.D. ATL. MORETTA"
"CN011","ATL. SAVIGLIANO A.S.D."
"CN012","A.S.D.ATLETICA CARMAGNOLA"
"CN013","A.S.D. ATLETICA CUNEO"
"CN014","A.S.D. ATL. AVIS BRA GAS"
"CN016","ATLETICA SALUZZO"
"CN017","G.S.R. FERRERO A.S.D."
"CN018","ASD GRUPPO PODISTI ALBESI"
"CN019","A.S.D. PODISTICA 2000 MARENE"
"CN020","A.S.D. ATLETICA ROATA CHIUSANI"
"CN021","A.S.D PAM MONDOVI-CHIUSA PESIO"
"CN023","ASD MICHELIN SPORT CLUB CUNEO"
"CN024","G.S.D.VALTANARO"
"CN025","A.S.D. BOVES RUN"
"CN026","A.S.D. PODISTICA CARAGLIESE"
"CN027","A.S.D.PODISTICA VILLAFALLETTO"
"CN028","A.S.D.POD. VALLE INFERNOTTO"
"CN031","A.S.D.IL PODIO"
"CN037","ASD ATLETICA RACCONIGI"
"CN039","ASD ATL SPRINT LIBERTAS MOROZZ"
"CN040","TRIANGOLO SPORT LANGHE MONFERR"
"CN042","ASD SCUOLA DEL CAMMINO FITWALK"
"CN043","C.B.SPORT-PODISTICA CARAMAGNA"
"CN044","PODISTICA VALLE GRANA ASSOCIAZ"
"CN046","ASD ROERO RUNNERS"
"CN047","ATLETICA POCAPAGLIA"
"CN048","ASD PODISTICA CASTAGNITESE"
"CN050","PODISTICA VALVERMENAGNA BUZZI"
"CN052","SPORTIFICATION"
"CN053","A.S.D.RIGAUDO I LOVE SPORT"
"CN054","CLUB 800 ASD"
"CN055","ASD DYNAMIC CENTER VALLE BELBO"
"CN060","A.S.D. VILLAR"
"CO010","TEAM ALTO LAMBRO"
"CO011","MERATE ATLETICA PROMOLINE"
"CO012","U.S. SAN MAURIZIO"
"CO013","GINNASTICA COMENSE 1872"
"CO014","ATL. MARIANO COMENSE"
"CO015","A.S.D. U.P. MISSAGLIA"
"CO016","U.S. OLTRONESE"
"CO017","ATL. TRIANGOLO LARIANO"
"CO018","TOMMY SPORT- LA VALLE DEL LURA"
"CO019","POL. PAGNONA"
"CO021","POL. MANDELLO"
"CO023","ATL. ROVELLASCA"
"CO024","ASD SWATT CLUB"
"CO025","ATL. BRIANZA"
"CO030","PRO QUINTO"
"CO034","POL. BELLANO GALPERTI GROUP"
"CO035","C.S. CORTENOVA"
"CO037","POLISPORTIVA COLVERDE"
"CO038","AMATORI LECCO"
"CO039","POL. LIB. CERNUSCHESE"
"CO040","G.S. ROVELLO PORRO"
"CO044","PGS RUNNING FENEGRO'"
"CO056","G.S. BERNATESE"
"CO096","A.S.D. BREVA RUNNING"
"CO109","SPARTACUS EVENTS SSD A R.L."
"CO122","ATL. LAGO DEL SEGRINO"
"CO167","O.S.A. ORG.SPORTIVA ALPINISTI"
"CO169","CANTU`ATLETICA"
"CO205","PREMANA"
"CO206","ATL. LOMAZZO"
"CO208","ATL. LECCO-COLOMBO COSTRUZ."
"CO216","G.S.A. CORNO MARCO ITALIA"
"CO249","ATL. CENTRO LARIO"
"CO261","FALCHI-LECCO"
"CO262","ATHLETIC TEAM LARIO"
"CO280","A.L.S. CREMELLA"
"CO286","ATL. O.S.G. GUANZATE"
"CO294","G.S. VIRTUS CALCO"
"CO302","G.S. A.CONSOLINI CERMENATE"
"CO348","ATL. COMO"
"CO361","U.S. NOVA LIB. COMO"
"CO375","ATL. FRI.MA.S."
"CO383","C.A. LIZZOLI"
"CO428","S.COOP ARL SD GS VILLA GUARDIA"
"CO443","A.S. CANTURINA POL. S.MARCO"
"CO444","G.S. AVIS OGGIONO"
"CO445","ATL. CASSAGO"
"CO487","ASD ATLETICA 87"
"CO527","ATLETICA 42195 'BLU FRIDA'"
"CO546","UNIONE SPORTIVA ALBATESE ASD"
"CO548","S.E.V. VALMADRERA"
"CO560","POL. PORLEZZESE"
"CO561","A.S. COMETA"
"CO597","RUNNERS COLICO"
"CO682","A.S.D.ARIES COMO ATHLETIC TEAM"
"CO683","POLISPORTIVA INTERCOMUNALE"
"CO690","G.S.A. COMETA"
"CO703","3 LIFE"
"CO711","TEAM OTC COMO"
"CO723","G.S.S. CAVALLASCA"
"CO744","A.G. COMENSE S.S.D. A R.L."
"CO780","SOCIETA ESCURSIONISTI CIVATES"
"CO790","TEAM PASTURO ASD"
"CO804","ATLETICA ALTO LARIO"
"CO808","SPARTACUS TRIATHLONLECCO A R.L"
"CO824","UNIONE SPORTIVA DERVIESE A.S.D"
"CO825","MANERANNERS"
"CO828","TEAM OTC SSD ARL"
"CO872","A TEAM TRIATHLON ASD"
"CO899","CAB SPORT"
"CO907","ASD ATLETICA PIDAGGIA 1528"
"CO912","MULTISPORT CANTU' 2012"
"CO915","ASD AVIS OGGIONO"
"CO920","LIETO COLLE ASD"
"CO942","AG MEDIA SPORT ASD"
"CO960","MISSULTEAM COMO ASD"
"CO976","A.S.D. ATLETICA ANDROMEDA"
"CO979","ASD PRO-SPORT RUNNING ACADEMY"
"CO993","WOMEN IN RUN LECCO ASD"
"CO996","ASD BTF92 ATLETICA"
"CR041","CREMONA SPORTIVA ATL. ARVEDI"
"CR092","A.SCOLASTICA SPORT. DIOTTI"
"CR150","ASD INTERFLUMINA E' PIU' POMI'"
"CR151","ATL. VIRTUS CREMA"
"CR152","ATL. CASTELLEONE"
"CR153","SOCIETA' ATL. CREMONESE"
"CR209","POL. SPINESE ATL."
"CR340","G.T.A. CREMA"
"CR418","CREMONA RUNNERS CLUB"
"CR554","MARATHON CREMONA"
"CR559","3C (COMP. CREMONESE CORRIDORI)"
"CR603","BIKE & RUN"
"CR730","TRIATHLON DUATHLON CREMONA"
"CR733","TRIATHLON CREMONA STRADIVARI S"
"CR810","ASD NUOVA VIRTUS CREMA"
"CR811","K3 SSD ARL"
"CR833","CAMISANO RUNNING A.S.D."
"CR842","TEAM K2"
"CR862","OMBRIANO RUNNING"
"CR944","CREMONACORRE ASD"
"CR988","U.S.D. SPINESE ORATORIO"
"CS004","ATLETICA COSENZA"
"CS050","POL.ACLI HINTERLAND EUROPEAN"
"CS149","TEAM BASILE"
"CS189","ATL.CASTROVILLARI"
"CS190","ATLETICA MIRTO-CROSIA"
"CS220","AS ATL.TEAM MORERO"
"CS226","MARATHON CS"
"CS281","ATLETICA ACQUAPPESA"
"CS299","G.S. PEGASO COSENZA"
"CS312","ASSOCIAZIONE CENTRO STORICO"
"CS320","POL.ACLI RINASCITA 2000"
"CS337","US SCALEA 1912 POL.DIL.SPA A.L"
"CS338","ENERGY CLUB"
"CS339","TEAM 'MARIO CARBONE' CS"
"CS341","UNIVERSAL ATHLETIC"
"CS344","NUOVA ATLETICA VIRTUS CELICO"
"CS350","ARCOBALENO CASTROVILLARI"
"CS352","SMS ATLETICA MENDICINO"
"CS354","NUOVA ARTEMIDE"
"CS355","TODARO RENDE"
"CS356","ATLETICA RENDESE"
"CS358","CUS COSENZA"
"CS361","COSENZA K42"
"CS362","ASD NUOVA ATLETICA CALABRIA"
"CS364","ASD TIGER RUNNING CLUB"
"CS380","POL. MAGNA GRAECIA ASD CASSANO"
"CS383","A.S.D. ATLETICA COLIBRI'"
"CS384","POLISPORTIVA PANATHLON"
"CS385","A.S.D. JURE SPORT"
"CS386","ASD CORRICV-GUGLIELMO ATLETICA"
"CS390","ASD DOJO JUDO RUNNING"
"CS406","ASD NEW TEAM"
"CS407","ASD RUNNING SCHOOL CETRARO"
"CS411","ATLETICA ARGENTANUM A.S.D."
"CS416","ASD CALABRIA YOUNG"
"CS417","POLISP. DILETT. PARALLELO 39"
"CS419","KOS RUNNING A.S.D."
"CS422","ATHLOS MIRTO CROSIA"
"CS423","RUNNERS COSENZA"
"CT067","A.S.D. C.U.S. CATANIA"
"CT071","A.S.D. MONTI ROSSI NICOLOSI"
"CT072","A.S. DIL. U.S.MONGIBELLO"
"CT073","A.S.D. POL. LIBERTAS CATANIA"
"CT075","SPORT CLUB CATANIA A.S.D."
"CT077","A.S.D. POL.LIB.MILITELLO"
"CT078","A.S. DIL. CENTRO OLIMPIA CT"
"CT092","A.S.D.  PODISTICA JONIA GIARRE"
"CT101","A.S. DIL. CATANIA 2000"
"CT145","A.S.D. ATL.ACIREALE SPORT CLUB"
"CT166","A.S.D. RUNNER TEAM MASCALUCIA"
"CT203","A.S.D. ATLETICA PEDARA"
"CT210","A.S. DILETT. GENESIS"
"CT211","ATLETICA ACICASTELLO"
"CT213","A.S.D. ATLETICA 2001 S.P. CLAR"
"CT218","AETNA MASCALUCIA A.S.D."
"CT221","SPORT LIFE"
"CT236","A.S. DIL. PUNTESATHLETIC"
"CT237","A.S. DIL. PUNTESE S.G LA PUNTA"
"CT240","A.S.D. U.I.S.P. INVICTA"
"CT246","ASD POL.MARATHON C.BIANCAVILLA"
"CT255","A.S.D. SPRINTEAM"
"CT262","A.S.D. C.A.S. PIETRO CLARENZA"
"CT293","ASD ATHENA CATANIA"
"CT318","FREELANCE ATHLETICS PAESI ETNE"
"CT321","A.S.D. TOP SPORT"
"CT324","A.S.D. GIOADVENTURES G.A.M.E."
"CT327","AETNA SPRINT GIARRE"
"CT361","A.S.D. SCUOLA DI A.L. CATANIA"
"CT389","SPORT ETNA OUTDOOR"
"CT405","ASD FREELANCE AZ"
"CT425","A.S. DIL. LE GAZZELLE"
"CT426","A.S. DIL. ATL.MISTERBIANCO"
"CT427","A.S.D. ATLETICA SANT'ANASTASIA"
"CT431","A.S.D. ATHL. C.FUTURA PATERNO'"
"CT433","ASD ATL.SCORDIA"
"CT448","A.S.D. OLIMPIA BIANCAVILLA"
"CT465","ASD NISSOLINO ATL.MISTERBIANCO"
"CT478","A.S.D. SPORT EXTREME CATANIA"
"CT479","A.S.D. ATL.CALTAGIRONE"
"CT501","A.S.D. UNVS F. FONTANAROSA"
"CT509","A.S.D. MAKE FEEL"
"CT515","A.S. DIL. ATL. LINGUAGLOSSA"
"CT539","A.S.D. POL. TREMESTIERI ETNEO"
"CT550","ASD ATLETICA FORTITUDO CATANIA"
"CT567","A.S.D. POL. FIAMMA S.GREGORIO"
"CT576","ETNA RUNNING ASD"
"CT596","A.S.D. POLISPORTIVA GIUVA TEAM"
"CT598","ASD CATANIA RUNNING CLUB"
"CT657","ASD LE FRECCE DELL'ETNA"
"CT660","ASD RANDABIKE"
"CT675","ASD GOAL AND BRAIN"
"CT684","TRECASTAGNI SPORT START UP"
"CT689","A.S.D. ATLETICA SICILIA"
"CT734","ASD ALTIS ATHLETICS"
"CT737","A.S.D.ATHLETICS & RUN CATANIA"
"CT753","A.S.D. AGATLETICA FORTITUDO CT"
"CT755","LEONARDO DA VINCI 1935"
"CT758","ASD LEONARDO DA VINCI 2019"
"CT761","ASD CORRENDO PER ACI -ACIREALE"
"CT762","ASD SAN PIETRO CLARENZA"
"CT763","ESERCITO 62Â° REGGIMENTO FANTE"
"CT765","ATLETICA VIRTUS ACIREALE"
"CT776","ETNATLETICA SAN PIETRO CLARENZ"
"CT779","ATLETICA MISTERBIANCO SPORT CL"
"CT783","MAGMA TEAM ASD"
"CZ009","LIBERTAS ATL.LAMEZIA"
"CZ010","ASD FIAMMA ATL.CATANZARO"
"CZ012","C.S. GIOVANILE CZ LIDO"
"CZ018","CLUB ATL.FEMM.FIAMMA CZ"
"CZ052","ATLETICA ZARAPOTI"
"CZ187","POL.GINNASTICA PODISTICA CORVO"
"CZ221","HOBBY MARATHON CATANZARO"
"CZ234","VIOLETTACLUB"
"CZ245","ATLETICA AMICA"
"CZ263","ATL.LEGG.CRISAL SOVERATO"
"CZ296","ATL.GIOVANILE FIAMMA GAGLIANO"
"CZ297","N.ATL.FEMM.FIAMMA S.ANTONIO"
"CZ310","ATHLETICLUB RAFFAELE LAMEZIA"
"CZ318","VIGILI DEL FUOCO"
"CZ327","CRISAL SQUILLACE"
"CZ371","SCAL SCUOLA CATANZARESE DI ATL"
"CZ404","ASD NIK RUN FOR NICHOLAS GREEN"
"CZ405","RUN FOR CATANZARO"
"CZ418","ASD POLIPORTO SOVERATO"
"CZ424","ASD FUTURA ATLETICA LAMEZIA"
"CZ426","TEAM ABRUZZESE"
"EN089","ASD ATL. BELLIA P.ZZA ARMERINA"
"EN095","A.S.D. PRO SPORT 85 VALGUARN."
"EN098","A.S.D. LIBERTAS EREA"
"EN383","A.S.D. ATL.AMATORI REGALBUTO"
"EN445","A.S. DIL.  TALIN CLUB NICOSIA"
"EN450","A.POL. D. MARATHON CLUB HAENNA"
"EN508","ASD CITTA' DI BARRAFRANCA"
"EN509","POL.DILETT. AMATORI ASSORO"
"EN530","ATLETICA ENNA"
"EN532","A.S.D. BARRAFRANCA RUNNING"
"EN538","ATLETICA LEONIAS"
"FC038","EDERA ATL. FORLI"
"FC049","ATL. ENDAS  CESENA"
"FC100","G.P. ENDAS CESENA"
"FC103","S.P. SEVEN"
"FC185","ASD ATL. CESENATICO"
"FC218","POD. CAVA VETRERIA BONDI"
"FC338","POL.ATL. ENDAS CESENATICO"
"FC353","ROMAGNA RUNNING 1994"
"FC355","G.P. AVIS FORLI"
"FC417","ASD POL. SIDERMEC - VITALI"
"FC530","EASY RUNNER ASD"
"FC542","LIBERTAS ATLETICA FORLI'"
"FC543","ASD MARATONA ALZHEIMER"
"FC547","AMICI DELLA FATICA CESENA"
"FC550","CORRI FORREST ASSOCIAZIONE SPO"
"FC557","PODISTICA SAMMAURESE"
"FC560","IMPOSSIBLE226 TRIATHLON FORLI"
"FC584","CESENA TRIATHLON ASD"
"FC599","ASD BERUNNERS"
"FC625","TEAM SEMPREDICORSA ASD"
"FE025","ATL. BONDENO"
"FE026","C.U.S. FERRARA A.S.D."
"FE028","CENTRO ATLETICA COPPARO"
"FE031","A.S. VIRTUS CENTO"
"FE342","ATLETICA CORRIFERRARA"
"FE372","UNIONE ATL. DELL'EMILIA R."
"FE378","ATLETICA ESTENSE"
"FE448","ATLETICA FERRARA"
"FE492","ASD ATLETICA AMICA COPPARO"
"FE513","RUNNING CLUB COMACCHIO"
"FE537","POLISPORTIVA CENTESE ASD"
"FE548","POL. QUADRILATERO"
"FE596","A.S.D. ATLETICA COPPARO"
"FG202","U.S. FOGGIA ATL. LEGGERA"
"FG210","ASD US FOGGIA SCUOLA NAZ. ASTA"
"FG212","ATLETICA MURIALDO"
"FG254","LIB.ATL.S.GIOVANNI ROTONDO"
"FG256","A.L. BOVIO"
"FG257","G.S. ATL. SAN FERDINANDO"
"FG264","A.S. CULTURALE POD. S. STEFANO"
"FG265","A.DOPOLAVORO FERROVIARIO FG"
"FG268","GS ATL. STRACAGNANO"
"FG269","ASS.GARGANO 2000 ONLUS MANFRE"
"FG271","CUS FOGGIA"
"FG272","GLOBE RUNNERS FOGGIA"
"FG273","POD. LUCERA"
"FG276","A.S.D. ATL. PADRE PIO S.G.R."
"FG277","PODISTICA SANNICANDRO"
"FG278","A.S. PEGASO"
"FG279","M.I.S.I. FOGGIA"
"FG280","I PODISTI DI CAPITANATA"
"FG281","A.S.D. RUN & FUN SAN SEVERO"
"FG282","A.S.D. ATLETICA SAN SEVERO"
"FG283","ATL. SAN NICANDRO GARGANICO"
"FG284","MARGHERITA DI SAVOIA RUNNERS"
"FG285","ATLETICA TRINITAPOLI"
