,punti TOT,100Hs_h84-8.50,100Hs_h84-8.50 p,lungo,lungo p,200m,200m p,atleta,link_atleta
68,2552.0,14.19,952.0,5.65,744.0,25.34,856.0,BOASSO Alice,https://www.fidal.it/atleta/BOASSO-Alice/dKyRk5uicWU%3D
69,2552.0,14.63,891.0,5.7,759.0,24.83,902.0,MARCHETTI Erica,https://www.fidal.it/atleta/MARCHETTI-Erica/faiRk5Ombmk%3D
70,2546.0,13.3,1080.0,4.59,451.0,23.65,1015.0,MURARO Alice,https://www.fidal.it/atleta/MURARO-Alice/eK6RkpalcGQ%3D
71,2540.0,14.75,875.0,5.65,744.0,24.63,921.0,CANTERGIANI Lucia,https://www.fidal.it/atleta/CANTERGIANI-Lucia/erGRkpWjaGQ%3D
72,2533.0,13.65,1028.0,5.11,589.0,24.68,916.0,FEUDATARI Alessandra,https://www.fidal.it/atleta/FEUDATARI-Alessandra/dqyRlpioamc%3D
73,2533.0,13.44,1059.0,4.9,532.0,24.41,942.0,OKI Desola madelaine,https://www.fidal.it/atleta/OKI-Desola-madelaine/eq6RkpOjcGQ%3D
74,2533.0,14.38,925.0,5.9,819.0,26.09,789.0,ECCLI Isabel,https://www.fidal.it/atleta/ECCLI-Isabel/iaiRk5Snb2U%3D
75,2532.0,13.87,997.0,5.56,717.0,25.76,818.0,PALANDRI Rebecca,https://www.fidal.it/atleta/PALANDRI-Rebecca/faiSkpKlcWg%3D
76,2530.0,14.49,910.0,5.64,741.0,25.09,879.0,DELIA Mita,https://www.fidal.it/atleta/DELIA-Mita/e6iRkpKobmw%3D
77,2529.0,13.49,1052.0,4.81,508.0,24.12,969.0,DONATO Costanza,https://www.fidal.it/atleta/DONATO-Costanza/eayRk5SlbWs%3D
78,2524.0,14.7,882.0,6.11,883.0,26.44,759.0,SPORTOLETTI Giulia,https://www.fidal.it/atleta/SPORTOLETTI-Giulia/dq2Rk5Slb2k%3D
79,2522.0,14.52,906.0,5.7,759.0,25.33,857.0,CASTELLANI Francesca,https://www.fidal.it/atleta/CASTELLANI-Francesca/fqmRkpOfbmg%3D
80,2522.0,14.46,914.0,5.48,694.0,24.71,914.0,ALBERTONI Roberta,https://www.fidal.it/atleta/ALBERTONI-Roberta/iaiRkpifamQ%3D
81,2520.0,14.42,920.0,5.94,831.0,26.32,769.0,SORAGNA Giulia,https://www.fidal.it/atleta/SORAGNA-Giulia/drKRk5ija2o%3D
82,2519.0,14.88,858.0,6.0,850.0,25.84,811.0,PIRCHER Linda maria,https://www.fidal.it/atleta/PIRCHER-Linda-maria/iaiRk5ShcGQ%3D
83,2511.0,14.77,872.0,5.91,822.0,25.78,817.0,LAZZARINI Selene,https://www.fidal.it/atleta/LAZZARINI-Selene/faiSkpilaWw%3D
84,2506.0,14.92,852.0,5.86,807.0,25.44,847.0,FERRIGHETTO Anna,https://www.fidal.it/atleta/FERRIGHETTO-Anna/eKmRlJOgamk%3D
85,2499.0,15.83,735.0,6.14,893.0,25.17,871.0,LA TELLA Silvia,https://www.fidal.it/atleta/LA-TELLA-Silvia/drKRkpaiamY%3D
86,2499.0,14.4,923.0,5.78,783.0,26.05,793.0,COSTA Luisa,https://www.fidal.it/atleta/COSTA-Luisa/d6iRkpagcGg%3D
87,2497.0,14.53,905.0,5.97,840.0,26.52,752.0,CHIARATTI Sara,https://www.fidal.it/atleta/CHIARATTI-Sara/damRkpKoa2o%3D
88,2497.0,13.65,1028.0,5.39,668.0,25.96,801.0,STERNI Meta,https://www.fidal.it/atleta/STERNI-Meta/eauRk5Oia2Q%3D
89,2497.0,13.52,1047.0,5.37,663.0,26.12,787.0,MACCHERONE Erica,https://www.fidal.it/atleta/MACCHERONE-Erica/dqmRl5ugbWc%3D
90,2491.0,14.35,929.0,5.88,813.0,26.56,749.0,BENUSSI Scilla,https://www.fidal.it/atleta/BENUSSI-Scilla/eK2Rk5OgcWs%3D
91,2489.0,15.02,839.0,6.12,887.0,26.39,763.0,ZANOTTI Sofia,https://www.fidal.it/atleta/ZANOTTI-Sofia/eqmRkpejb2Y%3D
92,2486.0,14.17,954.0,5.36,660.0,25.16,872.0,BIASON Emma,https://www.fidal.it/atleta/BIASON-Emma/eaqRk5Kka2g%3D
93,2486.0,12.87,1144.0,4.65,466.0,25.12,876.0,CARMASSI Giada,https://www.fidal.it/atleta/CARMASSI-Giada/eayRk5SjbmY%3D
94,2486.0,13.23,1090.0,4.86,522.0,25.14,874.0,GUIZZETTI Linda,https://www.fidal.it/atleta/GUIZZETTI-Linda/dqqRl5elbmY%3D
95,2479.0,14.71,880.0,5.07,578.0,23.58,1021.0,POLINARI Anna,https://www.fidal.it/atleta/POLINARI-Anna/eKAAARkpehbmU%3D
96,2478.0,14.68,884.0,5.98,843.0,26.54,751.0,TANI Sara,https://www.fidal.it/atleta/TANI-Sara/faiRk5anbGM%3D
97,2472.0,14.27,941.0,5.13,595.0,24.47,936.0,MARONE Anna laura,https://www.fidal.it/atleta/MARONE-Anna-laura/dK6Rkpqgbmw%3D
98,2471.0,14.38,925.0,5.61,732.0,25.81,814.0,RICCOMAGNO Anna,https://www.fidal.it/atleta/RICCOMAGNO-Anna/dKyRlJaicWQ%3D
99,2467.0,14.25,943.0,5.69,756.0,26.34,768.0,MORBIN Matilde,https://www.fidal.it/atleta/MORBIN-Matilde/eK6Rk5WocGU%3D
100,2466.0,14.71,880.0,5.75,774.0,25.83,812.0,MONFARDINI Erica,https://www.fidal.it/atleta/MONFARDINI-Erica/dq2Rk5ufbGs%3D
101,2466.0,14.39,924.0,5.57,720.0,25.72,822.0,TOSETTO Elisa,https://www.fidal.it/atleta/TOSETTO-Elisa/dK6RlZugaGM%3D
102,2465.0,14.62,892.0,5.38,665.0,24.77,908.0,CAVIGLIA Elisa,https://www.fidal.it/atleta/CAVIGLIA-Elisa/eqiRlZimbWk%3D
103,2465.0,15.23,811.0,6.1,880.0,26.27,774.0,MORESCO Sarah,https://www.fidal.it/atleta/MORESCO-Sarah/dKAAARlJOjcWk%3D
104,2464.0,13.64,1030.0,4.96,548.0,25.01,886.0,AGOSTINI Martina,https://www.fidal.it/atleta/AGOSTINI-Martina/eKqRkpahcWg%3D
105,2464.0,14.08,967.0,5.45,686.0,25.84,811.0,PENNELLA Paola,https://www.fidal.it/atleta/PENNELLA-Paola/faiRm5Onb2Q%3D
106,2463.0,14.79,870.0,5.71,762.0,25.62,831.0,RUIZ Erika,https://www.fidal.it/atleta/RUIZ-Erika/h6iRlJuhcGc%3D
107,2462.0,13.44,1059.0,5.23,623.0,26.2,780.0,ARIENTI Alessandra,https://www.fidal.it/atleta/ARIENTI-Alessandra/dqiRlZqna2k%3D
108,2460.0,14.82,866.0,5.91,822.0,26.29,772.0,ISOFA Sherry,https://www.fidal.it/atleta/ISOFA-Sherry/eqmRkpSfa2U%3D
109,2459.0,14.05,971.0,5.01,562.0,24.58,926.0,OLIVIERI Linda,https://www.fidal.it/atleta/OLIVIERI-Linda/dK2Rk5mnbGQ%3D
110,2459.0,14.52,906.0,5.81,792.0,26.42,761.0,TOMADIN Elen,https://www.fidal.it/atleta/TOMADIN-Elen/eamRkpenaGU%3D
111,2457.0,14.12,961.0,5.26,631.0,25.24,865.0,MORASSUTTI Virginia,https://www.fidal.it/atleta/MORASSUTTI-Virginia/eKqRkpSlbGs%3D
112,2450.0,15.18,818.0,5.82,795.0,25.55,837.0,NICOLA Silvia,https://www.fidal.it/atleta/NICOLA-Silvia/dKAAARk5qjbWc%3D
113,2449.0,14.75,875.0,5.89,816.0,26.45,758.0,PAGANELLI Cristina,https://www.fidal.it/atleta/PAGANELLI-Cristina/f6iRkpikcWo%3D
114,2447.0,15.05,835.0,5.97,840.0,26.29,772.0,GOLLIN Gloria,https://www.fidal.it/atleta/GOLLIN-Gloria/eK6RkpSjaGM%3D
115,2446.0,14.44,917.0,5.61,732.0,26.0,797.0,STERPETTI Angela,https://www.fidal.it/atleta/STERPETTI-Angela/f6iRlpahaGk%3D
116,2446.0,14.51,907.0,5.36,660.0,25.09,879.0,CALA Teuta,https://www.fidal.it/atleta/CALA-Teuta/f6uRkpKmb2Y%3D
117,2446.0,14.76,874.0,5.69,756.0,25.79,816.0,SCARDOVI Rebecca,https://www.fidal.it/atleta/SCARDOVI-Rebecca/eqAAARkpOmamc%3D
118,2443.0,14.13,960.0,5.44,683.0,25.97,800.0,PIAZZI Giulia,https://www.fidal.it/atleta/PIAZZI-Giulia/dq2RlZuncWY%3D
119,2438.0,14.16,956.0,5.53,709.0,26.28,773.0,MILLO Martina,https://www.fidal.it/atleta/MILLO-Martina/eauRk5Kfa2g%3D
120,2438.0,14.02,976.0,5.54,712.0,26.55,750.0,GENERO Chiara,https://www.fidal.it/atleta/GENERO-Chiara/dKyRk5qgbWs%3D
121,2437.0,13.92,990.0,5.08,581.0,25.23,866.0,GATTI Alessia,https://www.fidal.it/atleta/GATTI-Alessia/dquRk5OfaWw%3D
122,2436.0,15.47,781.0,5.88,813.0,25.49,842.0,FAVARETTO Eleonora,https://www.fidal.it/atleta/FAVARETTO-Eleonora/eKyRk5KibWk%3D
123,2436.0,15.1,828.0,5.82,795.0,25.82,813.0,PASTORE Annalisa,https://www.fidal.it/atleta/PASTORE-Annalisa/dKAAARlJSfaWU%3D
124,2434.0,14.93,851.0,5.67,750.0,25.59,833.0,MARAN Elena,https://www.fidal.it/atleta/MARAN-Elena/eqiRlJeka2o%3D
125,2434.0,13.68,1024.0,4.75,492.0,24.66,918.0,ZUIN Silvia,https://www.fidal.it/atleta/ZUIN-Silvia/eKiRlZenamw%3D
126,2431.0,14.0,978.0,5.33,651.0,25.94,802.0,SQUASSABIA Ginevra,https://www.fidal.it/atleta/SQUASSABIA-Ginevra/dqiSl5Ska2U%3D
127,2429.0,14.15,957.0,5.43,680.0,26.06,792.0,REALDON Alessandra,https://www.fidal.it/atleta/REALDON-Alessandra/iaiRkpuhbWk%3D
128,2427.0,14.88,858.0,5.84,801.0,26.34,768.0,NGO AG Odile,https://www.fidal.it/atleta/NGO-AG-Odile/g6iRkpegaGs%3D
129,2424.0,14.75,875.0,5.51,703.0,25.45,846.0,OGRISEG Susanne,https://www.fidal.it/atleta/OGRISEG-Susanne/iaiRkpakbGM%3D
130,2418.0,14.47,913.0,5.36,660.0,25.46,845.0,BARBINI Desiree,https://www.fidal.it/atleta/BARBINI-Desiree/eKiRlJifbGU%3D
131,2417.0,15.26,808.0,5.77,780.0,25.64,829.0,COLTRO Anna,https://www.fidal.it/atleta/COLTRO-Anna/eKAAARkpKlcGw%3D
132,2416.0,15.18,818.0,5.98,843.0,26.49,755.0,PECORA Rebecca,https://www.fidal.it/atleta/PECORA-Rebecca/dq2RlpeocWQ%3D
133,2414.0,15.2,815.0,5.77,780.0,25.75,819.0,MUIA' Manuela,https://www.fidal.it/atleta/MUIA-Manuela/daiRk5Kjbms%3D
134,2414.0,14.65,888.0,5.54,712.0,25.81,814.0,HOLZER Astrid,https://www.fidal.it/atleta/HOLZER-Astrid/iaiRkpSjcWY%3D
135,2410.0,14.47,913.0,5.49,697.0,25.97,800.0,MANNA Maria concetta,https://www.fidal.it/atleta/MANNA-Maria-concetta/h6iRlZakcWg%3D
136,2409.0,13.96,984.0,5.17,606.0,25.75,819.0,SPREAFICO Laura,https://www.fidal.it/atleta/SPREAFICO-Laura/dquRkpWjbms%3D
137,2408.0,13.51,1049.0,4.94,543.0,25.79,816.0,NESSENZIA Elena,https://www.fidal.it/atleta/NESSENZIA-Elena/eKmRlJSmbGs%3D
138,2408.0,14.95,848.0,5.72,765.0,26.03,795.0,BALDELLI Elisabetta,https://www.fidal.it/atleta/BALDELLI-Elisabetta/fqmRkpSfbGw%3D
139,2407.0,13.95,985.0,4.98,554.0,25.21,868.0,RENZI Federica,https://www.fidal.it/atleta/RENZI-Federica/fbKRkpOhaWQ%3D
140,2407.0,14.22,947.0,5.65,744.0,26.95,716.0,NOVELLO Jessica,https://www.fidal.it/atleta/NOVELLO-Jessica/eKiRlJqocGQ%3D
141,2406.0,14.78,871.0,5.61,732.0,25.93,803.0,SALGARELLA Ada,https://www.fidal.it/atleta/SALGARELLA-Ada/eayRkpilbWg%3D
142,2406.0,15.51,775.0,5.7,759.0,25.16,872.0,CARLOTTO Francesca,https://www.fidal.it/atleta/CARLOTTO-Francesca/eKiRkpSjaWw%3D
143,2405.0,14.4,923.0,5.08,581.0,24.85,901.0,MARCATO Angela,https://www.fidal.it/atleta/MARCATO-Angela/eKiRlJeicWo%3D
144,2404.0,14.12,961.0,5.22,620.0,25.71,823.0,CUTINI Giulia,https://www.fidal.it/atleta/CUTINI-Giulia/fbGRkpOgbWU%3D
145,2404.0,15.1,828.0,5.84,801.0,26.26,775.0,PEDONE Francesca,https://www.fidal.it/atleta/PEDONE-Francesca/dqmRlpiiaWo%3D
146,2402.0,14.54,903.0,5.43,680.0,25.75,819.0,DI NASSO Veronica,https://www.fidal.it/atleta/DI-NASSO-Veronica/dK6RlJWja2Y%3D
147,2401.0,14.65,888.0,5.56,717.0,26.01,796.0,DULLA Sofia,https://www.fidal.it/atleta/DULLA-Sofia/dK6Rl5ajamc%3D
148,2400.0,15.24,810.0,5.68,753.0,25.55,837.0,D'ANNA Eva,https://www.fidal.it/atleta/D-ANNA-Eva/eayRk5WmcWo%3D
149,2399.0,14.91,854.0,5.88,813.0,26.76,732.0,CALABRO' Virginia,https://www.fidal.it/atleta/CALABRO-Virginia/f6iRmZWnaGQ%3D
150,2396.0,14.57,899.0,5.55,715.0,26.17,782.0,BIANCHI Martina,https://www.fidal.it/atleta/BIANCHI-Martina/dqqRmJOiaGY%3D
151,2393.0,14.76,874.0,5.65,744.0,26.26,775.0,ACETI Erica,https://www.fidal.it/atleta/ACETI-Erica/dqiRlZqkbGU%3D
152,2393.0,14.65,888.0,5.91,822.0,27.35,683.0,BROZZO Matilde,https://www.fidal.it/atleta/BROZZO-Matilde/dauRkpOkbmQ%3D
153,2391.0,14.3,936.0,5.23,623.0,25.61,832.0,CAON Michela,https://www.fidal.it/atleta/CAON-Michela/eKyRkpumaGU%3D
154,2387.0,16.05,708.0,5.98,843.0,25.56,836.0,MESSINA Antonella,https://www.fidal.it/atleta/MESSINA-Antonella/dq2Rk5mfaGk%3D
155,2386.0,15.5,777.0,5.56,717.0,24.94,892.0,PAOLIN Francesca,https://www.fidal.it/atleta/PAOLIN-Francesca/dKuRk5emcWU%3D
156,2384.0,15.13,825.0,5.74,771.0,26.11,788.0,MORONI Maria costanza,https://www.fidal.it/atleta/MORONI-Maria-costanza/dK6RlJKgamg%3D
157,2384.0,14.76,874.0,5.68,753.0,26.46,757.0,VILLA Eleonora,https://www.fidal.it/atleta/VILLA-Eleonora/dquRkpWjamQ%3D
158,2383.0,15.25,809.0,5.55,715.0,25.31,859.0,MILANI Margherita,https://www.fidal.it/atleta/MILANI-Margherita/fayRkpWkbmg%3D
159,2382.0,14.2,950.0,5.75,774.0,27.66,658.0,DA SAN BIAGIO Martina,https://www.fidal.it/atleta/DA-SAN-BIAGIO-Martina/faiRm5ilaWY%3D
160,2374.0,14.85,862.0,5.23,623.0,24.98,889.0,PETERLE Jessica,https://www.fidal.it/atleta/PETERLE-Jessica/eKAAARkpWncWo%3D
161,2370.0,13.94,987.0,5.13,595.0,26.1,788.0,LUI Matilda,https://www.fidal.it/atleta/LUI-Matilda/dq2RmZKmcGs%3D
162,2369.0,14.89,856.0,4.63,461.0,23.27,1052.0,DE MASI Arianna,https://www.fidal.it/atleta/DE-MASI-Arianna/dq2RlJOhaGg%3D
163,2366.0,13.41,1063.0,4.44,413.0,24.96,890.0,MARINI Elena,https://www.fidal.it/atleta/MARINI-Elena/eKyRkpejamY%3D
164,2366.0,14.77,872.0,5.69,756.0,26.69,738.0,RUSTIGNOLI Barbara,https://www.fidal.it/atleta/RUSTIGNOLI-Barbara/eqiRk5SiaGg%3D
165,2366.0,14.76,874.0,5.72,765.0,26.82,727.0,GENERALI Anna,https://www.fidal.it/atleta/GENERALI-Anna/gKiRlZOoa2g%3D
166,2363.0,15.14,823.0,5.72,765.0,26.26,775.0,GRANDI Vittoria,https://www.fidal.it/atleta/GRANDI-Vittoria/eqmRkpmhbGo%3D
167,2362.0,14.24,945.0,5.04,570.0,25.44,847.0,VERGARO Elena,https://www.fidal.it/atleta/VERGARO-Elena/f66RkpOkcWU%3D
168,2360.0,14.68,884.0,5.54,712.0,26.38,764.0,SERAFINI Pamela,https://www.fidal.it/atleta/SERAFINI-Pamela/f6iRlJKjcWo%3D
