punteggio,prestazione,vento,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
691,9.76,-0.8,COLUSSI Ilary,2006,AF,ANA ATL.FELTRE,15 su- 1,San Biagio Di Callalta,2023-04-29,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
689,9.74,+1.0,FONTANA Stefania,1994,JF,ANA ATL.FELTRE,12 su- 1,Marcon,2012-05-06,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
685,9.7,+0.7,COLUSSI Ilary,2006,AF,ANA ATL.FELTRE,13 su- 1,Verona,2022-05-07,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
678,12.34,+0.6,SARTORI Tommaso,1995,AM,ANA ATL.FELTRE,5 su- 1,Vicenza,2012-05-26,https://www.fidal.it/atleta/SARTORI-Tommaso/eKmRlJKkaWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
674,12.3,+0.6,VENDRAME Marco,1995,AM,ANA ATL.FELTRE,6 su- 1,Vicenza,2012-05-26,https://www.fidal.it/atleta/VENDRAME-Marco/eKmRlJOkcWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
662,12.19,+4.4,TAMBURLIN Piero,1996,AM,ANA ATL.FELTRE,16 su- 1,Marcon,2013-05-11,https://www.fidal.it/atleta/TAMBURLIN-Piero/eKmRlJSkcGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
660,12.17,-0.2,D'AGOSTINI Enrico,1994,AM,ANA ATL.FELTRE,11 su- 1,Saronno,2010-06-26,https://www.fidal.it/atleta/D-AGOSTINI-Enrico/eKmRlJSgaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
660,9.45,,FONTANA Stefania,1994,CF,ANA ATL.FELTRE,8 su- 1,Vicenza,2009-06-07,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
659,9.43,,FONTANA Stefania,1994,CF,ANA ATL.FELTRE,1 su- 1,Longarone,2008-05-25,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
654,9.38,,COLUSSI Ilary,2006,CF,ANA ATL.FELTRE,2 su- 1,Domegge Di Cadore,2021-07-10,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
651,9.35,,MILONE Agnese,2010,CF,ANA ATL.FELTRE,2 su- 1,Borgo Valbelluna,2024-06-16,https://www.fidal.it/atleta/MILONE-Agnese/eKmRlJqfcGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
650,9.34,-1.4,FONTANA Stefania,1994,CF,ANA ATL.FELTRE,12 su- 1,Verona,2008-06-02,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
649,9.33,,ANDREOLI Vittoria,2007,CF,ANA ATL.FELTRE,2 su- 1,Mel,2022-06-22,https://www.fidal.it/atleta/ANDREOLI-Vittoria/eKmRlJmmbWw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
647,9.31,,FONTANA Stefania,1994,CF,ANA ATL.FELTRE,1 su- 1,Longarone,2009-05-10,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
643,12.0,-1.1,BIESUZ Enrico,2002,AM,ANA ATL.FELTRE,16 su- 1,Bussolengo,2018-05-26,https://www.fidal.it/atleta/BIESUZ-Enrico/eKmRlJSjb2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
640,9.24,,FENT Laura,1996,CF,ANA ATL.FELTRE,14 su- 1,Rovigo,2010-06-06,https://www.fidal.it/atleta/FENT-Laura/eKmRlJSha2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
640,9.24,,TAMBURLIN Anna,2000,CF,ANA ATL.FELTRE,2 se- 1,Feltre,2015-05-12,https://www.fidal.it/atleta/TAMBURLIN-Anna/eKmRlJWobGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
640,9.24,,MAHJOUBI Gaia,2004,CF,ANA ATL.FELTRE,1 se- 1,Belluno,2018-05-26,https://www.fidal.it/atleta/MAHJOUBI-Gaia/eKmRlJejamY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
638,9.22,,FONTANA Stefania,1994,CF,ANA ATL.FELTRE,1 se- 1,Feltre,2009-08-26,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
636,9.2,+0.5,COLUSSI Ilary,2006,CF,ANA ATL.FELTRE,17 su- 1,Abano Terme,2021-06-20,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
635,9.19,,D'ALBERTO Elena,2000,CF,ANA ATL.FELTRE,3 se- 1,Feltre,2015-05-12,https://www.fidal.it/atleta/D-ALBERTO-Elena/eKmRlJSjb2g%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
633,9.17,,MAHJOUBI Gaia,2004,CF,ANA ATL.FELTRE,4 su- 1,Agordo,2018-09-30,https://www.fidal.it/atleta/MAHJOUBI-Gaia/eKmRlJejamY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
633,11.9,+0.9,D'AGOSTINI Enrico,1994,CM,ANA ATL.FELTRE,4 su- 1,Mogliano Veneto,2009-09-19,https://www.fidal.it/atleta/D-AGOSTINI-Enrico/eKmRlJSgaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
624,9.08,,FONTANA Stefania,1994,CF,ANA ATL.FELTRE,14 su- 1,Mogliano Veneto,2008-09-28,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
623,9.07,,COLUSSI Ilary,2006,CF,ANA ATL.FELTRE,4 su- 1,San Biagio Di Callalta,2021-05-23,https://www.fidal.it/atleta/COLUSSI-Ilary/eKmRlJeob2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
619,11.77,+0.6,VENDRAME Marco,1995,AM,ANA ATL.FELTRE,11 su- 1,Saronno,2011-06-11,https://www.fidal.it/atleta/VENDRAME-Marco/eKmRlJOkcWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
616,9.0,+0.6,CANOVA Aurora,2001,CF,ANA ATL.FELTRE,22 su- 1,Rovigo,2016-05-29,https://www.fidal.it/atleta/CANOVA-Aurora/eKmRlJamcGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
613,8.97,,MAHJOUBI Gaia,2004,CF,ANA ATL.FELTRE,3 su- 1,Vittorio Veneto,2019-04-28,https://www.fidal.it/atleta/MAHJOUBI-Gaia/eKmRlJejamY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
609,8.93,-0.0,MAHJOUBI Gaia,2004,CF,ANA ATL.FELTRE,18 su- 1,Bassano Del Grappa,2019-05-26,https://www.fidal.it/atleta/MAHJOUBI-Gaia/eKmRlJejamY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
607,8.91,,CANOVA Aurora,2001,CF,ANA ATL.FELTRE,4 se- 1,Feltre,2015-05-12,https://www.fidal.it/atleta/CANOVA-Aurora/eKmRlJamcGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
606,8.9,-0.3,CANOVA Aurora,2001,AF,ANA ATL.FELTRE,22 su- 1,Vicenza,2017-05-13,https://www.fidal.it/atleta/CANOVA-Aurora/eKmRlJamcGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
606,8.9,-0.5,FONTANA Stefania,1994,AF,ANA ATL.FELTRE,14 su- 1,Mestre,2010-05-08,https://www.fidal.it/atleta/FONTANA-Stefania/eKmRlJKob2c%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
604,8.88,,CANOVA Aurora,2001,CF,ANA ATL.FELTRE,1 se- 1,Belluno,2016-05-07,https://www.fidal.it/atleta/CANOVA-Aurora/eKmRlJamcGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
603,8.86,+0.0,TAMBURLIN Anna,2000,CF,ANA ATL.FELTRE,16 su- 1,Belluno,2014-06-08,https://www.fidal.it/atleta/TAMBURLIN-Anna/eKmRlJWobGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
600,8.83,-0.4,FIAMMENGO Angelica,1995,AF,ANA ATL.FELTRE,11 su- 1,Vicenza,2012-05-26,https://www.fidal.it/atleta/FIAMMENGO-Angelica/eKmRlJSocWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
600,11.58,+0.9,FERRIGHETTO Ivan,1995,AM,ANA ATL.FELTRE,19 su- 1,Marcon,2011-05-14,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
599,8.82,+0.3,CANOVA Aurora,2001,CF,ANA ATL.FELTRE,9 se- 1,Belluno,2015-05-31,https://www.fidal.it/atleta/CANOVA-Aurora/eKmRlJamcGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
598,11.56,-1.0,ARGENTA Alessio,2006,AM,ANA ATL.FELTRE,7 su- 1,San Biagio Di Callalta,2023-04-29,https://www.fidal.it/atleta/ARGENTA-Alessio/eKmRlJama2w%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
595,11.53,-0.9,BIESUZ Enrico,2002,CM,ANA ATL.FELTRE,7 su- 1,Vicenza,2017-06-03,https://www.fidal.it/atleta/BIESUZ-Enrico/eKmRlJSjb2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
590,8.73,,TURRIN Lucia,2009,CF,ANA ATL.FELTRE,8 su- 1,Borgo Valbelluna,2023-04-15,https://www.fidal.it/atleta/TURRIN-Lucia/eKmRlJiibGo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
590,8.73,+1.0,MILONE Agnese,2010,CF,ANA ATL.FELTRE,22 su- 1,Vittorio Veneto,2024-09-22,https://www.fidal.it/atleta/MILONE-Agnese/eKmRlJqfcGs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
588,11.46,-0.1,SAADAOUI Omar,2008,CM,ANA ATL.FELTRE,7 su- 1,San Biagio Di Callalta,2023-05-20,https://www.fidal.it/atleta/SAADAOUI-Omar/eKmRlJimbWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
585,11.43,-0.3,FERRIGHETTO Ivan,1995,AM,ANA ATL.FELTRE,20 su- 1,Vicenza,2012-05-19,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
583,11.41,,PICCOLOTTO Yuri,1996,CM,ANA ATL.FELTRE,10 su- 1,Belluno,2011-06-04,https://www.fidal.it/atleta/PICCOLOTTO-Yuri/eKmRlJSfcWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
582,11.4,,D'AGOSTINI Enrico,1994,CM,ANA ATL.FELTRE,1 su- 1,Longarone,2009-05-10,https://www.fidal.it/atleta/D-AGOSTINI-Enrico/eKmRlJSgaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
582,11.4,,D'AGOSTINI Enrico,1994,CM,ANA ATL.FELTRE,3 su- 1,Vicenza,2009-06-07,https://www.fidal.it/atleta/D-AGOSTINI-Enrico/eKmRlJSgaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
581,11.39,+0.3,TAMBURLIN Piero,1996,JM,ANA ATL.FELTRE,10 su- 1,Bassano Del Grappa,2014-06-28,https://www.fidal.it/atleta/TAMBURLIN-Piero/eKmRlJSkcGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
580,11.38,+0.9,TAMBURLIN Piero,1996,JM,ANA ATL.FELTRE,15 se- 1,Rovigo,2015-06-06,https://www.fidal.it/atleta/TAMBURLIN-Piero/eKmRlJSkcGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
578,8.61,,ZATTA Ambra,2009,CF,ANA ATL.FELTRE,10 su- 1,Borgo Valbelluna,2023-04-15,https://www.fidal.it/atleta/ZATTA-Ambra/eKmRlJimbGQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
567,8.5,,MAHJOUBI Gaia,2004,CF,ANA ATL.FELTRE,6 se- 1,Agordo,2018-04-22,https://www.fidal.it/atleta/MAHJOUBI-Gaia/eKmRlJejamY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
566,11.24,,VELLO Michele,1997,AM,ANA ATL.FELTRE,11 su- 1,Trento,2013-06-08,https://www.fidal.it/atleta/VELLO-Michele/eKmRlJSkb2U%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
558,11.16,,BALDISSERI Pietro,2008,CM,ANA ATL.FELTRE,1 su- 1,Borgo Valbelluna,2023-04-15,https://www.fidal.it/atleta/BALDISSERI-Pietro/eKmRlJeocGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
557,8.39,,DE RIZ Silvia,2008,CF,ANA ATL.FELTRE,6 su- 1,Alpago,2022-05-14,https://www.fidal.it/atleta/DE-RIZ-Silvia/eKmRlJmgaWk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
554,11.13,,REDETTI Enrico,1992,CM,ANA ATL.FELTRE,6 su- 1,Verona,2007-06-03,https://www.fidal.it/atleta/REDETTI-Enrico/eKmRlJKlamg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
553,8.35,,MANTELLATO Monica,2008,CF,ANA ATL.FELTRE,7 su- 1,Alpago,2022-05-14,https://www.fidal.it/atleta/MANTELLATO-Monica/eKmRlJmjamk%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
550,8.32,,DE CARLI Alessandra,2001,CF,ANA ATL.FELTRE,2 se- 1,Belluno,2016-05-07,https://www.fidal.it/atleta/DE-CARLI-Alessandra/eKmRlJalbmo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
543,11.02,,SAADAOUI Omar,2008,CM,ANA ATL.FELTRE,2 su- 1,Borgo Valbelluna,2023-04-15,https://www.fidal.it/atleta/SAADAOUI-Omar/eKmRlJimbWU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
540,10.99,,BIESUZ Enrico,2002,CM,ANA ATL.FELTRE,1 su- 1,Vallesella,2017-05-13,https://www.fidal.it/atleta/BIESUZ-Enrico/eKmRlJSjb2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
540,10.99,,BIESUZ Enrico,2002,CM,ANA ATL.FELTRE,1 su- 1,Vallesella Di Cadore,2017-05-13,https://www.fidal.it/atleta/BIESUZ-Enrico/eKmRlJSjb2s%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
539,10.98,+0.4,PAGNUSSAT Andrea,1995,AM,ANA ATL.FELTRE,15 su- 1,Rovigo,2011-05-07,https://www.fidal.it/atleta/PAGNUSSAT-Andrea/eKmRlJShbmg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
537,8.19,,FERRACIN Giulia,2007,CF,ANA ATL.FELTRE,5 su- 1,Domegge Di Cadore,2021-05-15,https://www.fidal.it/atleta/FERRACIN-Giulia/eKmRlJmgbGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
534,10.93,,BALDISSERI Pietro,2008,CM,ANA ATL.FELTRE,1 su- 1,Mel,2022-06-22,https://www.fidal.it/atleta/BALDISSERI-Pietro/eKmRlJeocGc%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
531,8.13,,FERRACIN Giulia,2007,CF,ANA ATL.FELTRE,9 su- 1,San Biagio Di Callalta,2021-05-23,https://www.fidal.it/atleta/FERRACIN-Giulia/eKmRlJmgbGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
530,10.89,,PICCOLOTTO Yuri,1996,CM,ANA ATL.FELTRE,3 se- 1,Longarone,2011-05-14,https://www.fidal.it/atleta/PICCOLOTTO-Yuri/eKmRlJSfcWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
519,10.78,-0.2,VOICU Ioan alexandru,1997,PM,ANA ATL.FELTRE,22 su- 1,Vicenza,2019-06-01,https://www.fidal.it/atleta/VOICU-Ioan-alexandru/eKmRlJWicWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
515,10.74,,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,2 se- 1,Feltre,2012-08-23,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
512,10.71,,D'AGOSTINI Enrico,1994,CM,ANA ATL.FELTRE,1 se- 1,Longarone,2008-05-25,https://www.fidal.it/atleta/D-AGOSTINI-Enrico/eKmRlJSgaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
494,10.53,-0.2,D'AGOSTINI Enrico,1994,CM,ANA ATL.FELTRE,7 su- 1,Verona,2008-06-02,https://www.fidal.it/atleta/D-AGOSTINI-Enrico/eKmRlJSgaGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
493,10.52,,PETITTO Leonardo,2008,CM,ANA ATL.FELTRE,3 su- 1,Borgo Valbelluna,2023-04-15,https://www.fidal.it/atleta/PETITTO-Leonardo/eKmRlJijbmQ%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
487,10.46,,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,2 se- 1,Agordo,2013-09-25,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
484,10.43,,BELLUS Riccardo,2008,CM,ANA ATL.FELTRE,2 su- 1,Mel,2022-06-22,https://www.fidal.it/atleta/BELLUS-Riccardo/eKmRlJekamU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
483,10.42,+0.8,SIRAGNA Lorenzo,2001,CM,ANA ATL.FELTRE,14 su- 1,Rovigo,2016-05-28,https://www.fidal.it/atleta/SIRAGNA-Lorenzo/eKmRlJahbmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
482,10.41,,PAGNUSSAT Andrea,1995,CM,ANA ATL.FELTRE,15 su- 1,Rovigo,2010-06-06,https://www.fidal.it/atleta/PAGNUSSAT-Andrea/eKmRlJShbmg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
481,10.4,+2.7,HAROUF Omar,1999,CM,ANA ATL.FELTRE,19 su- 1,Belluno,2014-06-07,https://www.fidal.it/atleta/HAROUF-Omar/eKyRkpmiaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
480,10.39,,CAPRETTA Francesco,2002,CM,ANA ATL.FELTRE,2 su- 1,Vallesella,2017-05-13,https://www.fidal.it/atleta/CAPRETTA-Francesco/eKmRlJagcWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
480,10.39,,CAPRETTA Francesco,2002,CM,ANA ATL.FELTRE,2 su- 1,Vallesella Di Cadore,2017-05-13,https://www.fidal.it/atleta/CAPRETTA-Francesco/eKmRlJagcWY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
478,7.58,,ANDREOLI Vittoria,2007,CF,ANA ATL.FELTRE,4 su- 1,Agordo,2022-05-22,https://www.fidal.it/atleta/ANDREOLI-Vittoria/eKmRlJmmbWw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
478,10.37,,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,3 se- 1,Belluno,2012-05-19,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
478,10.37,,REDETTI Enrico,1992,CM,ANA ATL.FELTRE,1 se- 1,Longarone,2007-05-12,https://www.fidal.it/atleta/REDETTI-Enrico/eKmRlJKlamg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
477,7.57,,BARBARESI Lisa,2001,CF,ANA ATL.FELTRE,3 se- 1,Belluno,2016-05-07,https://www.fidal.it/atleta/BARBARESI-Lisa/eKmRlJagbWM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
473,7.53,,BERTELLE Arianna,2008,CF,ANA ATL.FELTRE,12 su- 1,Borgo Valbelluna,2023-04-15,https://www.fidal.it/atleta/BERTELLE-Arianna/eKmRlJikbGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
472,10.31,-0.2,ZAPPIA Matteo,1998,CM,ANA ATL.FELTRE,21 su- 1,Verona,2012-06-02,https://www.fidal.it/atleta/ZAPPIA-Matteo/eKmRlJSjcGM%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
468,7.48,,SPADA Francesca,2005,CF,ANA ATL.FELTRE,11 su- 1,Vittorio Veneto,2019-04-28,https://www.fidal.it/atleta/SPADA-Francesca/eKmRlJajbmY%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
465,10.24,,HAROUF Omar,1999,CM,ANA ATL.FELTRE,1 se- 1,Belluno,2014-05-17,https://www.fidal.it/atleta/HAROUF-Omar/eKyRkpmiaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
