punteggio,prestazione,vento,tempo,cronometraggio,atleta,anno,categoria,società,posizione,luogo,data,link_atleta,link_società
870,15.14,+1.0,15.14,e,ROLDO Demis,1985,SM,ANA ATL.FELTRE,1 se- 3,San Biagio Di Callalta,2017-05-20,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
862,15.19,-0.1,15.19,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,3 su- 1,Borgo Valbelluna,2024-05-31,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
854,15.24,+0.2,15.24,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,2 su- 1,Bressanone/brixen,2024-06-08,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
844,15.3,+0.4,15.30,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,1 su- 1,Bovolone,2024-05-05,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
844,15.3,-1.0,15.30,e,ROLDO Demis,1985,SM,ANA ATL.FELTRE,3 se- 1,Caorle,2018-05-05,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
842,15.31,-0.7,15.31,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,1 su- 1,Saronno,2023-09-16,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
836,15.35,-0.3,15.35,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,2 su- 1,Faenza,2023-09-13,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
831,15.38,-0.2,15.38,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,1 se- 2,Marcon,2014-06-14,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
830,15.39,-0.9,15.39,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,3 su- 1,Bassano Del Grappa,2024-09-07,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
823,15.43,-1.0,15.43,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,2 su- 1,Cles,2023-08-26,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
820,15.45,-1.2,15.45,e,FERRIGHETTO Ivan,1995,PM,ANA ATL.FELTRE,4 ba- 2,Rieti,2015-06-13,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
820,15.45,-1.2,15.45,e,ROLDO Demis,1985,SM,ANA ATL.FELTRE,2 se- 2,Vittorio Veneto,2019-07-13,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
801,15.57,-1.2,15.57,e,TIREL Enrico,1993,JM,ANA ATL.FELTRE,1 se- 3,Marcon,2011-05-14,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
800,15.58,+1.3,15.58,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,5 ba- 1,Firenze,2022-06-11,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
798,15.59,+0.0,15.59,e,ROLDO Demis,1985,SM,ANA ATL.FELTRE,3 su- 1,Bergamo,2018-08-25,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
790,15.64,-1.3,15.64,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,2 su- 1,Cles,2024-08-24,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
787,15.66,-0.4,15.66,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,3 se- 1,Bassano Del Grappa,2014-06-28,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
787,15.66,+0.5,15.66,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,2 se- 2,Vicenza,2014-05-10,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
786,15.67,+1.3,15.67,e,FERRIGHETTO Ivan,1995,PM,ANA ATL.FELTRE,2 se- 2,Rovigo,2015-06-06,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
781,15.7,-0.2,15.70,e,FERRIGHETTO Ivan,1995,PM,ANA ATL.FELTRE,1 se- 3,Conegliano,2016-09-25,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
776,15.73,-2.2,15.73,e,ROLDO Demis,1985,SM,ANA ATL.FELTRE,4 se- 1,Vedelago,2018-06-30,https://www.fidal.it/atleta/ROLDO-Demis/eKmRlJKhcGw%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
775,15.74,-0.2,15.74,e,TIREL Enrico,1993,JM,ANA ATL.FELTRE,4 se- 2,Vicenza,2012-05-19,https://www.fidal.it/atleta/TIREL-Enrico/eKmRlJOjaGg%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
765,15.8,-1.2,15.80,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,1 su- 1,Bolzano,2014-06-09,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
747,15.92,+0.9,15.92,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,99 su- 1,Bolzano,2022-05-21,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
746,15.93,+2.3,15.93,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,2 se- 2,Rosa,2013-07-06,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
741,15.96,+0.0,15.96,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,2 se- 2,Modena,2022-04-25,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
740,15.97,-1.0,15.97,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,1 su- 1,Bolzano,2022-06-02,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
737,15.99,-1.2,15.99,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,5 se- 1,Padova,2022-05-14,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
734,16.01,+1.8,16.01,e,FERRIGHETTO Ivan,1995,PM,ANA ATL.FELTRE,5 se- 1,Bovolone,2016-06-04,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
719,16.11,+0.7,16.11,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,6 su- 1,Rovereto,2013-06-28,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
705,16.2,-2.0,16.20,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,4 ba- 1,Vedelago,2013-06-29,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
695,16.27,+2.0,16.27,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,1 se- 3,Marcon,2013-05-11,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
689,16.31,+0.6,16.31,e,FERRIGHETTO Ivan,1995,JM,ANA ATL.FELTRE,3 se- 2,Conegliano,2013-06-07,https://www.fidal.it/atleta/FERRIGHETTO-Ivan/eKmRlJKkaGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
675,16.41,+1.8,16.41,e,SCOPEL Simone,2006,JM,ANA ATL.FELTRE,3 se- 2,Caorle,2024-05-25,https://www.fidal.it/atleta/SCOPEL-Simone/eKmRlJeocGU%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
637,16.68,-4.0,16.68,e,DE PAOLI Federico,2002,PM,ANA ATL.FELTRE,5 su- 1,Trieste,2022-07-24,https://www.fidal.it/atleta/DE-PAOLI-Federico/eKmRlJmfcWs%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
574,17.14,+2.0,17.14,e,COLLE Nicola,1996,AM,ANA ATL.FELTRE,3 se- 3,Marcon,2013-05-11,https://www.fidal.it/atleta/COLLE-Nicola/eKmRlJSla2o%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
305,19.48,-1.7,19.48,e,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,5 su- 1,Lana,2022-09-04,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
238,20.22,-0.9,20.22,e,DALLA CORTE Matteo,2001,SM,ANA ATL.FELTRE,5 se- 1,Bovolone,2024-05-05,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
225,20.37,+0.0,20.37,e,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,6 se- 1,Bovolone,2023-04-30,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
203,20.64,-0.7,20.64,e,DALLA CORTE Matteo,2001,PM,ANA ATL.FELTRE,3 se- 1,Lana,2022-04-24,https://www.fidal.it/atleta/DALLA-CORTE-Matteo/eKmRlJWmaWo%3D,https://www.fidal.it/societa/ANA-ATL-FELTRE/BL012
